
    Target 'Runner' in project 'Runner'
        ➜ Implicit dependency on target 'Pods-Runner' in project 'Pods' via file 'Pods_Runner.framework' in build phase 'Link Binary'
        ➜ Implicit dependency on target 'AppAuth' in project 'Pods' via options '-framework AppAuth' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'AppCheckCore' in project 'Pods' via options '-framework AppCheckCore' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'DKImagePickerController' in project 'Pods' via options '-framework DKImagePickerController' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'DKPhotoGallery' in project 'Pods' via options '-framework DKPhotoGallery' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'PromisesObjC' in project 'Pods' via options '-framework FBLPromises' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'GTMAppAuth' in project 'Pods' via options '-framework GTMAppAuth' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'GTMSessionFetcher' in project 'Pods' via options '-framework GTMSessionFetcher' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'GoogleSignIn' in project 'Pods' via options '-framework GoogleSignIn' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'GoogleUtilities' in project 'Pods' via options '-framework GoogleUtilities' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'SDWebImage' in project 'Pods' via options '-framework SDWebImage' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'SwiftyGif' in project 'Pods' via options '-framework SwiftyGif' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'dsp_plugin' in project 'Pods' via options '-framework dsp_plugin' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'file_picker' in project 'Pods' via options '-framework file_picker' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'google_sign_in_ios' in project 'Pods' via options '-framework google_sign_in_ios' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'metadata_god' in project 'Pods' via options '-framework metadata_god' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'package_info_plus' in project 'Pods' via options '-framework package_info_plus' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'path_provider_foundation' in project 'Pods' via options '-framework path_provider_foundation' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'share_plus' in project 'Pods' via options '-framework share_plus' in build setting 'OTHER_LDFLAGS'
